real,imag
9.9945431775244087e-01,0.0000000000000000e+00
1.0005456822475614e+00,0.0000000000000000e+00
9.9952175078769734e-01,0.0000000000000000e+00
9.9952050387267233e-01,0.0000000000000000e+00
9.9952055595104583e-01,0.0000000000000000e+00
9.9956121536503562e-01,0.0000000000000000e+00
9.9955634231516932e-01,0.0000000000000000e+00
9.9955650143415287e-01,0.0000000000000000e+00
1.0004794961273280e+00,0.0000000000000000e+00
1.0004794440489548e+00,0.0000000000000000e+00
1.0004782492123050e+00,0.0000000000000000e+00
1.0004387846349683e+00,0.0000000000000000e+00
1.0004436576848332e+00,0.0000000000000000e+00
1.0004434985658499e+00,0.0000000000000000e+00
9.9968129131893635e-01,0.0000000000000000e+00
9.9963300955237955e-01,0.0000000000000000e+00
9.9963304941144049e-01,0.0000000000000000e+00
9.9963396389982362e-01,0.0000000000000000e+00
9.9964751859173695e-01,0.0000000000000000e+00
9.9964764722922828e-01,0.0000000000000000e+00
9.9966106148648215e-01,0.0000000000000000e+00
9.9966043910874547e-01,0.0000000000000000e+00
9.9966056089314337e-01,0.0000000000000000e+00
9.9966064629977125e-01,0.0000000000000000e+00
1.0003187086810654e+00,0.0000000000000000e+00
1.0003669904476229e+00,0.0000000000000000e+00
1.0003669505885631e+00,0.0000000000000000e+00
1.0003660361001818e+00,0.0000000000000000e+00
1.0003524814082618e+00,0.0000000000000000e+00
1.0003523527707698e+00,0.0000000000000000e+00
1.0003389385135126e+00,0.0000000000000000e+00
1.0003395608912522e+00,0.0000000000000000e+00
1.0003394391068543e+00,0.0000000000000000e+00
1.0003393537002256e+00,0.0000000000000000e+00
9.9970467889570302e-01,0.0000000000000000e+00
9.9973022240968534e-01,0.0000000000000000e+00
9.9973032086455915e-01,0.0000000000000000e+00
9.9974026992242360e-01,0.0000000000000000e+00
9.9974058769257679e-01,0.0000000000000000e+00
9.9975607093600871e-01,0.0000000000000000e+00
9.9976453481798089e-01,0.0000000000000000e+00
9.9976503043719900e-01,0.0000000000000000e+00
1.0002953211043002e+00,0.0000000000000000e+00
1.0002697775903207e+00,0.0000000000000000e+00
