real,imag
1.3480677915462373e+04,0.0000000000000000e+00
1.3481537973166453e+04,0.0000000000000000e+00
1.3482695416120217e+04,0.0000000000000000e+00
1.3487627131458345e+04,0.0000000000000000e+00
1.3484105764440024e+04,0.0000000000000000e+00
1.3485714819230878e+04,0.0000000000000000e+00
1.0644758922177485e+04,0.0000000000000000e+00
1.0644501195645977e+04,0.0000000000000000e+00
1.0644082670469021e+04,0.0000000000000000e+00
1.0643519430334400e+04,0.0000000000000000e+00
1.0642833120244562e+04,0.0000000000000000e+00
1.0642050114711510e+04,0.0000000000000000e+00
1.0641200504198627e+04,0.0000000000000000e+00
1.0640316938761516e+04,0.0000000000000000e+00
1.0635759797447887e+04,0.0000000000000000e+00
1.0636017514863737e+04,0.0000000000000000e+00
1.0636436025237885e+04,0.0000000000000000e+00
1.0636999245451327e+04,0.0000000000000000e+00
1.0639433373324382e+04,0.0000000000000000e+00
1.0637685531266998e+04,0.0000000000000000e+00
1.0638583762811490e+04,0.0000000000000000e+00
8.6450810407400386e+03,0.0000000000000000e+00
8.6449392269585696e+03,0.0000000000000000e+00
8.6447553976673444e+03,0.0000000000000000e+00
8.6444841743257839e+03,0.0000000000000000e+00
8.6441536877278268e+03,0.0000000000000000e+00
8.6437766382880709e+03,0.0000000000000000e+00
8.6433675158050992e+03,0.0000000000000000e+00
8.6429420426265187e+03,0.0000000000000000e+00
8.6425165694479620e+03,0.0000000000000000e+00
8.6406614967670339e+03,0.0000000000000000e+00
8.6408030445129170e+03,0.0000000000000000e+00
8.6409871195890573e+03,0.0000000000000000e+00
8.6412583260641495e+03,0.0000000000000000e+00
8.6415887921101876e+03,0.0000000000000000e+00
8.6419658181023260e+03,0.0000000000000000e+00
7.2160978230576929e+03,0.0000000000000000e+00
7.2160031472256942e+03,0.0000000000000000e+00
7.2159437989511543e+03,0.0000000000000000e+00
7.2158123811663872e+03,0.0000000000000000e+00
7.2156543311951818e+03,0.0000000000000000e+00
7.2154740132837987e+03,0.0000000000000000e+00
7.2152783569484327e+03,0.0000000000000000e+00
7.2150748811523463e+03,0.0000000000000000e+00
7.2148714053562908e+03,0.0000000000000000e+00
7.2146757490209211e+03,0.0000000000000000e+00
7.2139573815056101e+03,0.0000000000000000e+00
7.2140167297801745e+03,0.0000000000000000e+00
7.2143373811383453e+03,0.0000000000000000e+00
7.2142428069209773e+03,0.0000000000000000e+00
7.2141112909474723e+03,0.0000000000000000e+00
6.1781387028477875e+03,0.0000000000000000e+00
6.1780638133179018e+03,0.0000000000000000e+00
6.1780014389261996e+03,0.0000000000000000e+00
6.1779564424149394e+03,0.0000000000000000e+00
6.1778940734977223e+03,0.0000000000000000e+00
6.1778180767522636e+03,0.0000000000000000e+00
6.1777313726907923e+03,0.0000000000000000e+00
6.1776372933018010e+03,0.0000000000000000e+00
