real,imag
1.0046073717220090e+00,0.0000000000000000e+00
9.9539262827799591e-01,0.0000000000000000e+00
1.0040525341406925e+00,0.0000000000000000e+00
9.9594746585931060e-01,0.0000000000000000e+00
9.9628860946808662e-01,0.0000000000000000e+00
1.0037113905319186e+00,0.0000000000000000e+00
1.0031016753494724e+00,0.0000000000000000e+00
9.9689832465052952e-01,0.0000000000000000e+00
1.0027331229788561e+00,0.0000000000000000e+00
9.9726687702115002e-01,0.0000000000000000e+00
1.0024934916078749e+00,0.0000000000000000e+00
9.9750650839212662e-01,0.0000000000000000e+00
1.0020918417652478e+00,0.0000000000000000e+00
9.9790815823475476e-01,0.0000000000000000e+00
1.0018463824130699e+00,0.0000000000000000e+00
9.9815361758693188e-01,0.0000000000000000e+00
1.0016786146030574e+00,0.0000000000000000e+00
9.9832138539694992e-01,0.0000000000000000e+00
1.0014131599185869e+00,0.0000000000000000e+00
9.9858684008142085e-01,0.0000000000000000e+00
1.0012493138439003e+00,0.0000000000000000e+00
9.9875068615610640e-01,0.0000000000000000e+00
1.0011320966054729e+00,0.0000000000000000e+00
9.9886790339452447e-01,0.0000000000000000e+00
1.0009561834197671e+00,0.0000000000000000e+00
9.9904381658023189e-01,0.0000000000000000e+00
1.0008466010251720e+00,0.0000000000000000e+00
9.9915339897482958e-01,0.0000000000000000e+00
1.0007647966368212e+00,0.0000000000000000e+00
9.9923520336318150e-01,0.0000000000000000e+00
1.0006479603723173e+00,0.0000000000000000e+00
9.9935203962769126e-01,0.0000000000000000e+00
1.0005745431940873e+00,0.0000000000000000e+00
9.9942545680591666e-01,0.0000000000000000e+00
9.9948251726220094e-01,0.0000000000000000e+00
1.0005174827378067e+00,0.0000000000000000e+00
1.0004397363231130e+00,0.0000000000000000e+00
9.9956026367689477e-01,0.0000000000000000e+00
1.0003904718206384e+00,0.0000000000000000e+00
9.9960952817936244e-01,0.0000000000000000e+00
1.0003506736265451e+00,0.0000000000000000e+00
9.9964932637345716e-01,0.0000000000000000e+00
1.0002988541931312e+00,0.0000000000000000e+00
9.9970114580687630e-01,0.0000000000000000e+00
1.0002657490873053e+00,0.0000000000000000e+00
9.9973425091269386e-01,0.0000000000000000e+00
1.0002379835831650e+00,0.0000000000000000e+00
9.9976201641684503e-01,0.0000000000000000e+00
1.0002033955457561e+00,0.0000000000000000e+00
9.9979660445424623e-01,0.0000000000000000e+00
1.0001811194740322e+00,0.0000000000000000e+00
9.9981888052597112e-01,0.0000000000000000e+00
1.0001617387238373e+00,0.0000000000000000e+00
9.9983826127617181e-01,0.0000000000000000e+00
1.0001386228439788e+00,0.0000000000000000e+00
9.9986137715601986e-01,0.0000000000000000e+00
1.0001236144770027e+00,0.0000000000000000e+00
9.9987638552299707e-01,0.0000000000000000e+00
1.0001100768761502e+00,0.0000000000000000e+00
9.9988992312384917e-01,0.0000000000000000e+00
1.0000946104247028e+00,0.0000000000000000e+00
9.9990538957530450e-01,0.0000000000000000e+00
1.0000844863400842e+00,0.0000000000000000e+00
9.9991551365992104e-01,0.0000000000000000e+00
1.0000750221425534e+00,0.0000000000000000e+00
9.9992497785744783e-01,0.0000000000000000e+00
1.0000646630452248e+00,0.0000000000000000e+00
9.9993533695478010e-01,0.0000000000000000e+00
1.0000578256933330e+00,0.0000000000000000e+00
9.9994217430667576e-01,0.0000000000000000e+00
1.0000512027928821e+00,0.0000000000000000e+00
9.9994879720712326e-01,0.0000000000000000e+00
1.0000442578696014e+00,0.0000000000000000e+00
9.9995574213039506e-01,0.0000000000000000e+00
1.0000396349430949e+00,0.0000000000000000e+00
9.9996036505691155e-01,0.0000000000000000e+00
1.0000349953878953e+00,0.0000000000000000e+00
9.9996500461210380e-01,0.0000000000000000e+00
1.0000303352721294e+00,0.0000000000000000e+00
9.9996966472787197e-01,0.0000000000000000e+00
1.0000272060697595e+00,0.0000000000000000e+00
9.9997279393024840e-01,0.0000000000000000e+00
1.0000239521864294e+00,0.0000000000000000e+00
9.9997604781356986e-01,0.0000000000000000e+00
1.0000208226243119e+00,0.0000000000000000e+00
